Date,Open,High,Low,Close,Volume
2021-05-01,122.47789923181227,127.6104371182479,114.26935212153987,116.57196044921875,34443215
2021-06-01,117.29262780071343,122.37243606838531,116.37860615353479,117.43323516845703,29036753
2021-07-01,118.52302446005592,119.2964253185648,109.82231173800459,115.64036560058594,26259226
2021-08-01,116.64226580047304,126.55580259780783,116.4664965344876,123.77860260009766,21945908
2021-09-01,123.5325257632976,133.46364373684986,121.05414821260241,124.72777557373047,34534969
2021-10-01,122.1439252517075,126.06364566779297,117.50354680838198,123.28644561767578,24717494
2021-11-01,123.84892365055757,137.963410148619,123.18099501817764,124.16531372070312,34549189
2021-12-01,125.41327940086772,135.95959604414185,124.07740887115918,134.18429565429688,23249561
2022-01-01,133.42848527602735,138.8246832646559,119.6831067780578,122.93489837646484,31832388
2022-02-01,124.0774092547986,131.1785974257998,106.20140570765793,111.31637573242188,46904699
2022-03-01,112.98107805782311,124.80341972078998,95.73564464808072,113.57762145996094,60020403
2022-04-01,114.21030655140888,114.78876908806129,101.93604124116962,106.45528411865234,29693667
2022-05-01,105.02720827057185,112.72800247617319,97.74219050397258,110.66722869873047,29669923
2022-06-01,111.69762682217676,114.10186083907568,87.02255393062373,87.75466918945312,39514229
2022-07-01,86.06446600294989,98.48334401037725,84.66349789496509,98.10372924804688,33370435
2022-08-01,97.88679493914849,101.86372280749615,91.36100769042969,91.36100769042969,29997474
2022-09-01,90.6740905136634,98.3568035490573,85.92888540356716,91.46947479248047,37660208
2022-10-01,89.51716582611965,101.91796967360521,88.51389333232511,100.0018081665039,29980579
2022-11-01,100.8152717076309,121.89302037320664,96.62141483699205,118.60301208496094,36801047
2022-12-01,120.17571842154761,123.86340864953819,113.79454248379207,117.17493438720703,26765880
2023-01-01,117.35569751692937,132.28728007283198,116.90377322230937,129.1599578857422,23393779
2023-02-01,129.14188332813302,137.56574451794762,126.21340910443821,130.78688049316406,29774293
2023-03-01,135.0809619588741,140.86748927249002,125.27550423122413,138.85801696777344,35181414
2023-04-01,138.392874267335,139.45342682193467,130.22475574085342,138.5231170654297,19773740
2023-05-01,138.52310916875973,149.79847242770705,136.84856305883048,142.6536865234375,26479101
2023-06-01,143.93752166732688,155.36172394514637,139.2859730462147,141.90943908691406,35415093
2023-07-01,142.15132919099366,145.4260234062733,131.60162028878818,144.1793975830078,23490753
2023-08-01,144.88645527756702,144.88645527756702,124.19635994172478,129.20143127441406,30158481
2023-09-01,129.22002035153812,130.39221973751174,120.62396722986716,126.20582580566406,29727824
2023-10-01,126.98727812495173,129.6293543508386,111.1534096458395,116.25150299072266,27344763
2023-11-01,116.30732076284295,143.54679595685093,115.43283443224266,143.2677001953125,30404187
2023-12-01,143.52817396184804,158.07821655273438,143.3607250359614,158.07821655273438,27755742
2024-01-01,158.07821909310707,159.13877156029625,146.78426014779816,155.0640106201172,25637157
2024-02-01,154.8035405931536,170.43274762308752,150.76599958407917,170.1908721923828,28841093
2024-03-01,176.52896751135248,178.9018189217321,163.5548083326261,169.31472778320312,27678545
2024-04-01,169.35300398636963,171.19005176919006,163.13382587387582,168.30052185058594,22902865
2024-05-01,168.05174929341325,180.71974116037154,163.0572700204612,168.64495849609375,27241784
2024-06-01,171.0752348979484,171.84067509740368,158.52205358573116,166.21470642089844,23092623
2024-07-01,169.927098945007,176.91170314186795,158.9239369477682,162.10049438476562,21299590
2024-08-01,159.82329386588015,163.63135475563212,144.17010127555656,162.57887268066406,22807013
2024-09-01,162.59801768694112,177.00737224865952,153.31709352138236,173.5054931640625,25257241
2024-10-01,174.0604485089321,178.3660335252797,168.45361943699487,170.69252014160156,22838017
2024-11-01,171.57277644129144,187.05373870315626,166.21470954398663,175.2468719482422,27623663
2024-12-01,174.57711832303693,188.20189289604167,174.06043997066726,181.4086456298828,18850421
2025-01-01,181.4086462497017,200.3532077774161,178.15552895941005,198.48745727539062,21660608
2025-02-01,192.55532699371568,218.43667945489446,190.59389092927174,211.64341735839844,29276852
2025-03-01,216.88900742834454,239.7529336009734,203.67003857831,207.4888458251953,39032095
2025-04-01,209.88786406405103,211.84622989645217,158.9997267138156,197.74598693847656,41484751
2025-05-01,202.39710656634463,222.22556069542117,199.80227780492373,207.3909454345703,25182775
2025-06-01,206.26487546558675,219.8265648409167,202.397105932116,213.11915588378906,21582779
2025-07-01,212.82541215946355,227.2683601290947,209.30034769550215,220.21823120117188,19004380
2025-08-01,217.52547760654272,235.59141425946527,208.51699781753297,231.6746826171875,18001940
2025-09-01,233.14345043429643,234.95492980328012,215.7139921275058,221.4911651611328,18684173
2025-10-01,223.84122219296842,244.94260223246567,221.93180354004227,240.43836975097656,18060799
2025-11-01,239.45917665830993,247.39054903374824,211.55246453564664,223.54745483398438,21104689
2025-12-01,222.51931452336876,235.05285865966877,218.79841650680612,234.1715850830078,13585521
2026-01-01,234.17158808067478,257.67197803413995,232.31114651915033,250.96456909179688,23397607
2026-02-01,247.24368625955262,270.00968905374907,226.82771648700856,242.24984741210938,28037603
2026-03-01,238.5,240.64999389648438,198.0,205.6999969482422,35445080
2026-04-01,215.9499969482422,250.14999389648438,207.5500030517578,243.10000610351562,23797813
